year,month,anomaly,absolute
1910,11,-0.618,13.772
1910,12,-0.573,13.817
1911,1,-0.999,13.391
1911,2,-0.704,13.686
1911,3,-0.761,13.629
1911,4,-0.098,14.292
1911,5,-0.461,13.929
1911,6,-0.266,14.124
1911,7,-0.144,14.246
1911,8,-0.324,14.066
1911,9,-0.42,13.97
1911,10,-0.026,14.364
1911,11,-0.049,14.341
1911,12,-0.234,14.156
1912,1,-0.127,14.263
1912,2,0.433,14.823
1912,3,-0.467,13.923
1912,4,-0.11,14.28
1912,5,0.257,14.647
1912,6,0.164,14.554
1912,7,-0.357,14.033
1912,8,-0.583,13.807
1912,9,-0.496,13.894
1912,10,-0.877,13.513
1912,11,-0.397,13.993
1912,12,-0.695,13.695
1913,1,-0.322,14.068
1913,2,-0.643,13.747
1913,3,-0.771,13.619
1913,4,-0.021,14.369
1913,5,-0.379,14.011
1913,6,-0.151,14.239
1913,7,0.077,14.467
1913,8,0.072,14.462
1913,9,-0.056,14.334
1913,10,-0.097,14.293
1913,11,0.046,14.436
1913,12,0.519,14.909
1914,1,0.716,15.106
1914,2,-0.426,13.964
1914,3,-0.195,14.195
1914,4,-0.234,14.156
1914,5,0.047,14.437
1914,6,0.156,14.546
1914,7,0.094,14.484
1914,8,0.05,14.44
1914,9,-0.136,14.254
1914,10,0.318,14.708
1914,11,-0.27,14.12
1914,12,-0.231,14.159
1915,1,-0.292,14.098
1915,2,-0.095,14.295
1915,3,-0.264,14.126
1915,4,0.262,14.652
1915,5,-0.06,14.33
1915,6,-0.147,14.243
1915,7,0.269,14.659
1915,8,0.287,14.677
1915,9,-0.078,14.312
1915,10,-0.095,14.295
1915,11,0.512,14.902
1915,12,0.318,14.708
1916,1,0.099,14.489
1916,2,-0.097,14.293
1916,3,-0.229,14.161
1916,4,-0.231,14.159
1916,5,-0.144,14.246
1916,6,-0.326,14.064
1916,7,-0.088,14.302
1916,8,-0.179,14.211
1916,9,-0.277,14.113
1916,10,-0.218,14.172
1916,11,-0.398,13.992
1916,12,-1.206,13.184
1917,1,-0.274,14.116
1917,2,-0.66,13.73
1917,3,-0.69,13.7
1917,4,-0.347,14.043
1917,5,-0.798,13.592
1917,6,-0.35,14.04
1917,7,-0.011,14.379
1917,8,-0.069,14.321
1917,9,-0.176,14.214
1917,10,-0.502,13.888
1917,11,0.026,14.416
1917,12,-1.318,13.072
1918,1,-0.635,13.755
1918,2,-0.81,13.58
1918,3,-0.597,13.793
1918,4,-0.611,13.779
1918,5,-0.709,13.681
1918,6,-0.481,13.909
1918,7,-0.215,14.175
1918,8,-0.316,14.074
1918,9,0.16,14.55
1918,10,0.372,14.762
1918,11,-0.438,13.952
1918,12,-0.843,13.547
1919,1,-0.419,13.971
1919,2,-0.301,14.089
1919,3,-0.538,13.852
1919,4,0.046,14.436
1919,5,-0.408,13.982
1919,6,-0.186,14.204
1919,7,0.122,14.512
1919,8,0.149,14.539
1919,9,0.013,14.403
1919,10,0.028,14.418
1919,11,-0.463,13.927
1919,12,-0.353,14.037
1920,1,0.336,14.726
1920,2,-0.631,13.759
1920,3,-0.297,14.093
1920,4,-0.181,14.209
1920,5,-0.124,14.266
1920,6,-0.306,14.084
1920,7,0.012,14.402
1920,8,-0.077,14.313
1920,9,-0.083,14.307
1920,10,-0.125,14.265
1920,11,-0.589,13.801
1920,12,-0.897,13.493
1921,1,0.56,14.95
1921,2,0.16,14.55
1921,3,-0.393,13.997
1921,4,-0.054,14.336
1921,5,0.037,14.427
1921,6,0.108,14.498
1921,7,0.32,14.71
1921,8,-0.133,14.257
1921,9,-0.091,14.299
1921,10,0.118,14.508
1921,11,-0.389,14.001
1921,12,0.007,14.397
1922,1,-0.523,13.867
1922,2,-0.732,13.658
1922,3,-0.1,14.29
1922,4,0.154,14.544
1922,5,-0.332,14.058
1922,6,-0.09,14.3
1922,7,0.035,14.425
1922,8,-0.138,14.252
1922,9,-0.222,14.168
1922,10,-0.054,14.336
1922,11,-0.073,14.317
1922,12,-0.12,14.27
1923,1,0.072,14.462
1923,2,-0.727,13.663
1923,3,-0.405,13.985
1923,4,-0.678,13.712
1923,5,-0.423,13.967
1923,6,-0.161,14.229
1923,7,-0.278,14.112
1923,8,-0.194,14.196
1923,9,-0.082,14.308
1923,10,0.171,14.561
1923,11,0.185,14.575
1923,12,0.177,14.567
1924,1,-0.222,14.168
1924,2,-0.397,13.993
1924,3,0.003,14.393
1924,4,-0.459,13.931
1924,5,-0.018,14.372
1924,6,-0.009,14.381
1924,7,0.014,14.404
1924,8,-0.145,14.245
1924,9,-0.149,14.241
1924,10,-0.124,14.266
1924,11,0.052,14.442
1924,12,-0.482,13.908
1925,1,-0.647,13.743
1925,2,-0.491,13.899
1925,3,-0.169,14.221
1925,4,0.222,14.612
1925,5,-0.179,14.211
1925,6,-0.151,14.239
1925,7,-0.096,14.294
1925,8,0.104,14.494
1925,9,-0.046,14.344
1925,10,-0.186,14.204
1925,11,0.196,14.586
1925,12,0.888,15.278
1926,1,0.643,15.033
1926,2,0.504,14.894
1926,3,0.307,14.697
1926,4,-0.196,14.194
1926,5,-0.504,13.886
1926,6,-0.043,14.347
1926,7,-0.115,14.275
1926,8,0.003,14.393
1926,9,-0.128,14.262
1926,10,0.384,14.774
1926,11,0.122,14.512
1926,12,-0.522,13.868
1927,1,-0.237,14.153
1927,2,-0.491,13.899
1927,3,-0.793,13.597
1927,4,-0.366,14.024
1927,5,-0.231,14.159
1927,6,-0.136,14.254
1927,7,0.092,14.482
1927,8,-0.15,14.24
1927,9,0.133,14.523
1927,10,0.595,14.985
1927,11,0.296,14.686
1927,12,-0.485,13.905
1928,1,0.131,14.521
1928,2,0.004,14.394
1928,3,-0.482,13.908
1928,4,-0.21,14.18
1928,5,-0.247,14.143
1928,6,-0.43,13.96
1928,7,-0.118,14.272
1928,8,-0.165,14.225
1928,9,-0.007,14.383
1928,10,0.31,14.7
1928,11,0.186,14.576
1928,12,0.06,14.45
1929,1,-0.72,13.67
1929,2,-1.171,13.219
1929,3,-0.302,14.088
1929,4,-0.274,14.116
1929,5,-0.38,14.01
1929,6,-0.627,13.763
1929,7,-0.468,13.922
1929,8,-0.161,14.229
1929,9,-0.362,14.028
1929,10,0.126,14.516
1929,11,0.039,14.429
1929,12,-1.399,12.991
1930,1,-0.517,13.873
1930,2,-0.146,14.244
1930,3,0.157,14.547
1930,4,-0.362,14.028
1930,5,-0.38,14.01
1930,6,-0.22,14.17
1930,7,0.17,14.56
1930,8,0.116,14.506
1930,9,-0.208,14.182
1930,10,-0.134,14.256
1930,11,0.294,14.684
1930,12,0.001,14.391
1931,1,-0.113,14.277
1931,2,-0.777,13.613
1931,3,-0.117,14.273
1931,4,-0.239,14.151
1931,5,-0.447,13.943
1931,6,0.109,14.499
1931,7,0.245,14.635
1931,8,0.282,14.672
1931,9,0.096,14.486
1931,10,0.662,15.052
1931,11,-0.095,14.295
1931,12,0.386,14.776
1932,1,1.011,15.401
1932,2,-0.182,14.208
1932,3,-0.327,14.063
1932,4,0.378,14.768
1932,5,-0.34,14.05
1932,6,-0.159,14.231
1932,7,-0.01,14.38
1932,8,-0.167,14.223
1932,9,0.238,14.628
1932,10,0.387,14.777
1932,11,-0.184,14.206
1932,12,-0.197,14.193
1933,1,-0.746,13.644
1933,2,-0.691,13.699
1933,3,-0.576,13.814
1933,4,-0.291,14.099
1933,5,-0.347,14.043
1933,6,-0.249,14.141
1933,7,-0.072,14.318
1933,8,-0.018,14.372
1933,9,-0.286,14.104
1933,10,0.129,14.519
1933,11,-0.145,14.245
1933,12,-0.639,13.751
1934,1,-0.214,14.176
1934,2,0.443,14.833
1934,3,-0.509,13.881
1934,4,-0.392,13.998
1934,5,0.286,14.676
